1	1	N3I	NSF	13442	Ὅρασις	ὁρασις	ορασις	ὅρασις	O/(rasij	o(rasij	orasij	o/(rasij	o(/rasij			,	O(/RASIS	O(/RASIS
41	10	D		9	μὴ	μη	μη	μή	mh\	mh	mh	mh/	mh/				MH\	MH/
41	10	V3	AAD2S	633537	πλανῶ	πλανω	πλανω	πλανάω	planw~	planw	planw	plana/w	plana/w			,	PLANW=	PLANA/W
41	10	RP	NS	13	ἐγὼ	ἐγω	εγω	ἐγώ	e)gw\	e)gw	egw	e)gw/	e)gw/				E)GW\	E)GW/
41	10	X		5	γάρ	γαρ	γαρ	γάρ	ga/r	gar	gar	ga/r	ga/r				GA/R	GA/R
41	10	V9	PAI1S	599169	εἰμι	εἰμι	ειμι	εἰμί	ei)mi	ei)mi	eimi	ei)mi/	ei)mi/				EI)MI	EI)MI/
41	10	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	10	N2	NSM	9346	θεός	θεος	θεος	θεός	qeo/j	qeoj	qeoj	qeo/j	qeo/j				QEO/S	QEO/S
41	10	RP	GS	13	σου	σου	σου	σοῦ	sou	sou	sou	sou~	sou=				SOU	SU/
41	10	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	10	VA	AAPNSM	4795329	ἐνισχύσας	ἐνισχυσας	ενισχυσας	ἐνισχύω	e)nisxu/saj	e)nisxusaj	enisxusaj	e)nisxu/w	e)nisxu/w				E)NISXU/SAS	I)SXU/W          E)N
41	10	RP	AS	13	σε	σε	σε	σέ	se	se	se	se/	se/				SE	SU/
41	10	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	10	VAI	AAI1S	600705	ἐβοήθησά	ἐβοηθησα	εβοηθησα	βοηθέω	e)boh/qhsa/	e)bohqhsa	ebohqhsa	bohqe/w	bohqe/w				E)BOH/QHSA/	BOHQE/W
41	10	RP	DS	13	σοι	σοι	σοι	σοί	soi	soi	soi	soi/	soi/				SOI	SU/
41	10	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	10	VAI	AMI1S	604801	ἠσφαλισάμην	ἠσφαλισαμην	ησφαλισαμην	ἀσφαλίζω	h)sfalisa/mhn	h)sfalisamhn	hsfalisamhn	a)sfali/zw	a)sfali/zw				H)SFALISA/MHN	A)SFALI/ZW
41	10	RP	AS	13	σε	σε	σε	σέ	se	se	se	se/	se/				SE	SU/
41	10	RA	DSF	10	τῇ	τη	τη	ὁ	th~|	th	th	o(	o(				TH=|	O(
41	10	A1A	DSF	13699	δεξιᾷ	δεξια	δεξια	δεξιός	decia~|	decia	decia	decio/j	decio/j				DECIA=|	DECIO/S
41	10	RA	DSF	10	τῇ	τη	τη	ὁ	th~|	th	th	o(	o(				TH=|	O(
41	10	A1A	DSF	13699	δικαίᾳ	δικαια	δικαια	δίκαιος	dikai/a|	dikaia	dikaia	di/kaioj	di/kaioj				DIKAI/A|	DI/KAIOS
41	10	RP	GS	13	μου	μου	μου	μου	mou	mou	mou	mou	mou			.	MOU	E)GW/
41	11	I		6	ἰδοὺ	ἰδου	ιδου	ἰδού	i)dou\	i)dou	idou	i)dou/	i)dou/				I)DOU\	I)DOU/
41	11	VC	FPI3P	903297	αἰσχυνθήσονται	αἰσχυνθησονται	αισχυνθησονται	αἰσχύνω	ai)sxunqh/sontai	ai)sxunqhsontai	aisxunqhsontai	ai)sxu/nw	ai)sxu/nw				AI)SXUNQH/SONTAI	AI)SXU/NW
41	11	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	11	VD	FPI3P	903297	ἐντραπήσονται	ἐντραπησονται	εντραπησονται	ἐντρέπω	e)ntraph/sontai	e)ntraphsontai	entraphsontai	e)ntre/pw	e)ntre/pw				E)NTRAPH/SONTAI	TRE/PW           E)N
41	11	A3	NPM	9859	πάντες	παντες	παντες	πᾶς	pa/ntej	pantej	pantej	pa~j	pa=j				PA/NTES	PA=S
41	11	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
41	11	V5	PMPNPM	5060033	ἀντικείμενοί	ἀντικειμενοι	αντικειμενοι	ἀντίκειμαι	a)ntikei/menoi/	a)ntikeimenoi	antikeimenoi	a)nti/keimai	a)nti/keimai				A)NTIKEI/MENOI/	KEI=MAI          A)NTI
41	11	RP	DS	13	σοι	σοι	σοι	σοί	soi	soi	soi	soi/	soi/			·	SOI	SU/
41	11	VF	FMI3P	899201	ἔσονται	ἐσονται	εσονται	εἰμί	e/)sontai	e)sontai	esontai	ei)mi/	ei)mi/				E)/SONTAI	EI)MI/
41	11	X		5	γὰρ	γαρ	γαρ	γάρ	ga\r	gar	gar	ga/r	ga/r				GA\R	GA/R
41	11	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
41	11	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
41	11	V9	PAPNPM	5055937	ὄντες	ὀντες	οντες	εἰμί	o/)ntej	o)ntej	ontej	ei)mi/	ei)mi/				O)/NTES	EI)MI/
41	11	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	11	VF2	FMI3P	899201	ἀπολοῦνται	ἀπολουνται	απολουνται	ἀπόλλυμι	a)polou~ntai	a)polountai	apolountai	a)po/llumi	a)po/llumi				A)POLOU=NTAI	O)LLU/W          A)PO
41	11	A3	NPM	9859	πάντες	παντες	παντες	πᾶς	pa/ntej	pantej	pantej	pa~j	pa=j				PA/NTES	PA=S
41	11	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
41	11	N2	NPM	9858	ἀντίδικοί	ἀντιδικοι	αντιδικοι	ἀντίδικος	a)nti/dikoi/	a)ntidikoi	antidikoi	a)nti/dikoj	a)nti/dikoj				A)NTI/DIKOI/	A)NTI/DIKOS
41	11	RP	GS	13	σου	σου	σου	σοῦ	sou	sou	sou	sou~	sou=			.	SOU	SU/
41	12	VFI	FAI2S	632961	ζητήσεις	ζητησεις	ζητησεις	ζητέω	zhth/seij	zhthseij	zhthseij	zhte/w	zhte/w				ZHTH/SEIS	ZHTE/W
41	12	RD	APM	11	αὐτοὺς	αὐτους	αυτους	αὐτός	au)tou\j	au)touj	autouj	au)to/j	au)to/j				AU)TOU\S	AU)TO/S
41	12	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	12	D		9	οὐ	οὐ	ου	οὐ	ou)	ou)	ou	ou)	ou)				OU)	OU)
41	12	D		9	μὴ	μη	μη	μή	mh\	mh	mh	mh/	mh/				MH\	MH/
41	12	VB	AAS2S	633601	εὕρῃς	εὑρης	ευρης	εὑρίσκω	eu/(rh|j	eu(rhj	eurhj	eu(ri/skw	eu(ri/skw				EU(/RH|S	EU(RI/SKW
41	12	RA	APM	10	τοὺς	τους	τους	ὁ	tou\j	touj	touj	o(	o(				TOU\S	O(
41	12	N2	APM	9986	ἀνθρώπους	ἀνθρωπους	ανθρωπους	ἄνθρωπος	a)nqrw/pouj	a)nqrwpouj	anqrwpouj	a/)nqrwpoj	a)/nqrwpoj			,	A)NQRW/POUS	A)/NQRWPOS
41	12	RR	NPM	14	οἳ	οἱ	οι	ὅς	oi\(	oi(	oi	o/(j	o(/j				OI(\	O(/S
41	12	VF	FAI3P	895105	παροινήσουσιν	παροινησουσιν	παροινησουσιν	παροινέω	paroinh/sousin	paroinhsousin	paroinhsousin	paroine/w	paroine/w				PAROINH/SOUSIN	PAROINE/W
41	12	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
41	12	RP	AS	13	σέ	σε	σε	σέ	se/	se	se	se/	se/			·	SE/	SU/
41	12	VF	FMI3P	899201	ἔσονται	ἐσονται	εσονται	εἰμί	e/)sontai	e)sontai	esontai	ei)mi/	ei)mi/				E)/SONTAI	EI)MI/
41	12	X		5	γὰρ	γαρ	γαρ	γάρ	ga\r	gar	gar	ga/r	ga/r				GA\R	GA/R
41	12	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
41	12	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
41	12	V9	PAPNPM	5055937	ὄντες	ὀντες	οντες	εἰμί	o/)ntej	o)ntej	ontej	ei)mi/	ei)mi/				O)/NTES	EI)MI/
41	12	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	12	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
41	12	VF	FMI3P	899201	ἔσονται	ἐσονται	εσονται	εἰμί	e/)sontai	e)sontai	esontai	ei)mi/	ei)mi/				E)/SONTAI	EI)MI/
41	12	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
41	12	V2	PAPNPM	5055937	ἀντιπολεμοῦντές	ἀντιπολεμουντες	αντιπολεμουντες	ἀντιπολεμέω	a)ntipolemou~nte/j	a)ntipolemountej	antipolemountej	a)ntipoleme/w	a)ntipoleme/w				A)NTIPOLEMOU=NTE/S	POLEME/W         A)NTI
41	12	RP	AS	13	σε	σε	σε	σέ	se	se	se	se/	se/			.	SE	SU/
41	13	C		4	ὅτι	ὁτι	οτι	ὅτι	o/(ti	o(ti	oti	o/(ti	o(/ti				O(/TI	O(/TI
41	13	RP	NS	13	ἐγὼ	ἐγω	εγω	ἐγώ	e)gw\	e)gw	egw	e)gw/	e)gw/				E)GW\	E)GW/
41	13	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	13	N2	NSM	9346	θεός	θεος	θεος	θεός	qeo/j	qeoj	qeoj	qeo/j	qeo/j				QEO/S	QEO/S
41	13	RP	GS	13	σου	σου	σου	σοῦ	sou	sou	sou	sou~	sou=				SOU	SU/
41	13	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	13	N3E	GPN	18242	κρατῶν	κρατων	κρατων	κράτος	kratw~n	kratwn	kratwn	kra/toj	kra/toj				KRATW=N	KRA/TOS
41	13	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
41	13	A1A	GSF	13635	δεξιᾶς	δεξιας	δεξιας	δεξιός	decia~j	deciaj	deciaj	decio/j	decio/j				DECIA=S	DECIO/S
41	13	RP	GS	13	σου	σου	σου	σοῦ	sou	sou	sou	sou~	sou=			,	SOU	SU/
41	13	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	13	V1	PAPNSM	4793793	λέγων	λεγων	λεγων	λέγω	le/gwn	legwn	legwn	le/gw	le/gw				LE/GWN	LE/GW
41	13	RP	DS	13	σοι	σοι	σοι	σοί	soi	soi	soi	soi/	soi/				SOI	SU/
41	13	D		9	Μὴ	μη	μη	μή	Mh\	mh	mh	mh/	mh/				MH\	MH/
41	13	V2	PMD2S	636097	φοβοῦ	φοβου	φοβου	φοβέω	fobou~	fobou	fobou	fobe/w	fobe/w			,	FOBOU=	FOBE/W
41	14	N	NSM	9346	Ιακωβ	ιακωβ	ιακωβ	Ἰακώβ	Iakwb	iakwb	iakwb	I)akw/b	I)akw/b			,	*IAKWB	*I)AKW/B
41	14	A1	NSM	9347	ὀλιγοστὸς	ὀλιγοστος	ολιγοστος	ὀλιγοστός	o)ligosto\j	o)ligostoj	oligostoj	o)ligosto/j	o)ligosto/j				O)LIGOSTO\S	O)LIGOSTO/S
41	14	N	NSM	9346	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l			·	*ISRAHL	*I)SRAH/L
41	14	RP	NS	13	ἐγὼ	ἐγω	εγω	ἐγώ	e)gw\	e)gw	egw	e)gw/	e)gw/				E)GW\	E)GW/
41	14	VAI	AAI1S	600705	ἐβοήθησά	ἐβοηθησα	εβοηθησα	βοηθέω	e)boh/qhsa/	e)bohqhsa	ebohqhsa	bohqe/w	bohqe/w				E)BOH/QHSA/	BOHQE/W
41	14	RP	DS	13	σοι	σοι	σοι	σοί	soi	soi	soi	soi/	soi/			,	SOI	SU/
41	14	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω	le/gei	legei	legei	le/gw	le/gw				LE/GEI	LE/GW
41	14	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	14	N2	NSM	9346	θεὸς	θεος	θεος	θεός	qeo\j	qeoj	qeoj	qeo/j	qeo/j				QEO\S	QEO/S
41	14	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	14	V4	PMPNSM	4797889	λυτρούμενός	λυτρουμενος	λυτρουμενος	λυτρόω	lutrou/meno/j	lutroumenoj	lutroumenoj	lutro/w	lutro/w				LUTROU/MENO/S	LUTRO/W
41	14	RP	AS	13	σε	σε	σε	σέ	se	se	se	se/	se/			,	SE	SU/
41	14	N	VSM	9410	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l			.	*ISRAHL	*I)SRAH/L
41	15	I		6	ἰδοὺ	ἰδου	ιδου	ἰδού	i)dou\	i)dou	idou	i)dou/	i)dou/				I)DOU\	I)DOU/
41	15	VAI	AAI1S	600705	ἐποίησά	ἐποιησα	εποιησα	ποιέω	e)poi/hsa/	e)poihsa	epoihsa	poie/w	poie/w				E)POI/HSA/	POIE/W
41	15	RP	AS	13	σε	σε	σε	σέ	se	se	se	se/	se/				SE	SU/
41	15	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
41	15	N2	APM	9986	τροχοὺς	τροχους	τροχους	τροχός	troxou\j	troxouj	troxouj	troxo/j	troxo/j				TROXOU\S	TROXO/S
41	15	N1S	GSF	13634	ἁμάξης	ἁμαξης	αμαξης	ἅμαξα	a(ma/chj	a(machj	amachj	a/(maca	a(/maca				A(MA/CHS	A(/MACA
41	15	V3	PAPAPM	5121473	ἀλοῶντας	ἀλοωντας	αλοωντας	ἀλοάω	a)low~ntaj	a)lowntaj	alowntaj	a)loa/w	a)loa/w				A)LOW=NTAS	A)LOA/W
41	15	A1	APM	9987	καινοὺς	καινους	καινους	καινός	kainou\j	kainouj	kainouj	kaino/j	kaino/j				KAINOU\S	KAINO/S
41	15	A3H	APM	9987	πριστηροειδεῖς	πριστηροειδεις	πριστηροειδεις	πριστηροειδής	pristhroeidei~j	pristhroeideij	pristhroeideij	pristhroeidh/j	pristhroeidh/j			,	PRISTHROEIDEI=S	PRISTHROEIDH/S
41	15	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	15	VF	FAI2S	632961	ἀλοήσεις	ἀλοησεις	αλοησεις	ἀλοάω	a)loh/seij	a)lohseij	alohseij	a)loa/w	a)loa/w				A)LOH/SEIS	A)LOA/W
41	15	N3E	APN	18178	ὄρη	ὀρη	ορη	ὄρος	o/)rh	o)rh	orh	o/)roj	o)/roj				O)/RH	O)/ROS
41	15	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	15	VF	FAI2S	632961	λεπτυνεῖς	λεπτυνεις	λεπτυνεις	λεπτύνω	leptunei~j	leptuneij	leptuneij	leptu/nw	leptu/nw				LEPTUNEI=S	LEPTU/NW
41	15	N2	APM	9986	βουνοὺς	βουνους	βουνους	βουνός	bounou\j	bounouj	bounouj	bouno/j	bouno/j				BOUNOU\S	BOUNO/S
41	15	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	15	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
41	15	N3	ASM	9474	χνοῦν	χνουν	χνουν	χνοῦς	xnou~n	xnoun	xnoun	xnou~j	xnou=j				XNOU=N	XNOU=S
41	15	VF	FAI2S	632961	θήσεις	θησεις	θησεις	τίθημι	qh/seij	qhseij	qhseij	ti/qhmi	ti/qhmi			·	QH/SEIS	TI/QHMI
41	16	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	16	VF	FAI2S	632961	λικμήσεις	λικμησεις	λικμησεις	λικμάω	likmh/seij	likmhseij	likmhseij	likma/w	likma/w			,	LIKMH/SEIS	LIKMA/W
41	16	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	16	N2	NSM	9346	ἄνεμος	ἀνεμος	ανεμος	ἄνεμος	a/)nemoj	a)nemoj	anemoj	a/)nemoj	a)/nemoj				A)/NEMOS	A)/NEMOS
41	16	VF	FMI3S	637057	λήμψεται	λημψεται	λημψεται	λαμβάνω	lh/myetai	lhmyetai	lhmyetai	lamba/nw	lamba/nw				LH/MYETAI	LAMBA/NW
41	16	RD	APM	11	αὐτούς	αὐτους	αυτους	αὐτός	au)tou/j	au)touj	autouj	au)to/j	au)to/j			,	AU)TOU/S	AU)TO/S
41	16	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	16	N3I	NSF	13442	καταιγὶς	καταιγις	καταιγις	καταιγίς	kataigi\j	kataigij	kataigij	kataigi/j	kataigi/j				KATAIGI\S	KATAIGI/S
41	16	VF2	FAI3S	632961	διασπερεῖ	διασπερει	διασπερει	διασπείρω	diasperei~	diasperei	diasperei	diaspei/rw	diaspei/rw				DIASPEREI=	SPEI/RW          DIA
41	16	RD	APM	11	αὐτούς	αὐτους	αυτους	αὐτός	au)tou/j	au)touj	autouj	au)to/j	au)to/j			,	AU)TOU/S	AU)TO/S
41	16	RP	NS	13	σὺ	συ	συ	σύ	su\	su	su	su/	su/				SU\	SU/
41	16	X		5	δὲ	δε	δε	δέ	de\	de	de	de/	de/				DE\	DE/
41	16	VC	FPI2S	641153	εὐφρανθήσῃ	εὐφρανθηση	ευφρανθηση	εὐφραίνω	eu)franqh/sh|	eu)franqhsh	eufranqhsh	eu)frai/nw	eu)frai/nw				EU)FRANQH/SH|	EU)FRAI/NW
41	16	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
41	16	RA	DPM	10	τοῖς	τοις	τοις	ὁ	toi~j	toij	toij	o(	o(				TOI=S	O(
41	16	A1A	DPM	10115	ἁγίοις	ἁγιοις	αγιοις	ἅγιος	a(gi/oij	a(gioij	agioij	a/(gioj	a(/gioj				A(GI/OIS	A(/GIOS
41	16	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l			.	*ISRAHL	*I)SRAH/L
41	16	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	16	VF	FMI3P	899201	ἀγαλλιάσονται	ἀγαλλιασονται	αγαλλιασονται	ἀγαλλιάω	a)gallia/sontai	a)galliasontai	agalliasontai	a)gallia/w	a)gallia/w				A)GALLIA/SONTAI	A)GALLIA/OMAI
41	17	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
41	17	N2	NPM	9858	πτωχοὶ	πτωχοι	πτωχοι	πτωχός	ptwxoi\	ptwxoi	ptwxoi	ptwxo/j	ptwxo/j				PTWXOI\	PTWXO/S
41	17	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	17	RA	NPM	10	οἱ	οἱ	οι	ὁ	oi(	oi(	oi	o(	o(				OI(	O(
41	17	A3H	NPM	9859	ἐνδεεῖς	ἐνδεεις	ενδεεις	ἐνδεής	e)ndeei~j	e)ndeeij	endeeij	e)ndeh/j	e)ndeh/j			·	E)NDEEI=S	E)NDEH/S
41	17	VF	FAI3P	895105	ζητήσουσιν	ζητησουσιν	ζητησουσιν	ζητέω	zhth/sousin	zhthsousin	zhthsousin	zhte/w	zhte/w				ZHTH/SOUSIN	ZHTE/W
41	17	X		5	γὰρ	γαρ	γαρ	γάρ	ga\r	gar	gar	ga/r	ga/r				GA\R	GA/R
41	17	N3	ASN	17666	ὕδωρ	ὑδωρ	υδωρ	ὕδωρ	u/(dwr	u(dwr	udwr	u/(dwr	u(/dwr			,	U(/DWR	U(/DWR
41	17	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	17	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
41	17	VF	FMI3S	637057	ἔσται	ἐσται	εσται	εἰμί	e/)stai	e)stai	estai	ei)mi/	ei)mi/			,	E)/STAI	EI)MI/
41	17	RA	NSF	10	ἡ	ἡ	η	ὁ	h(	h(	h	o(	o(				H(	O(
41	17	N1S	NSF	13442	γλῶσσα	γλωσσα	γλωσσα	γλῶσσα	glw~ssa	glwssa	glwssa	glw~ssa	glw=ssa				GLW=SSA	GLW=SSA
41	17	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός	au)tw~n	au)twn	autwn	au)to/j	au)to/j				AU)TW=N	AU)TO/S
41	17	P		8	ἀπὸ	ἀπο	απο	ἀπό	a)po\	a)po	apo	a)po/	a)po/				A)PO\	A)PO/
41	17	RA	GSF	10	τῆς	της	της	ὁ	th~j	thj	thj	o(	o(				TH=S	O(
41	17	N1S	GSF	13634	δίψης	διψης	διψης	δίψα	di/yhj	diyhj	diyhj	di/ya	di/ya				DI/YHS	DI/YA
41	17	VCI	API3S	641665	ἐξηράνθη	ἐξηρανθη	εξηρανθη	ξηραίνω	e)chra/nqh	e)chranqh	echranqh	chrai/nw	chrai/nw			·	E)CHRA/NQH	CHRAI/NW
41	17	RP	NS	13	ἐγὼ	ἐγω	εγω	ἐγώ	e)gw\	e)gw	egw	e)gw/	e)gw/				E)GW\	E)GW/
41	17	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj	kurioj	kurioj	ku/rioj	ku/rioj				KU/RIOS	KU/RIOS
41	17	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	17	N2	NSM	9346	θεός	θεος	θεος	θεός	qeo/j	qeoj	qeoj	qeo/j	qeo/j			,	QEO/S	QEO/S
41	17	RP	NS	13	ἐγὼ	ἐγω	εγω	ἐγώ	e)gw\	e)gw	egw	e)gw/	e)gw/				E)GW\	E)GW/
41	17	VF	FMI1S	604289	ἐπακούσομαι	ἐπακουσομαι	επακουσομαι	ἐπακούω	e)pakou/somai	e)pakousomai	epakousomai	e)pakou/w	e)pakou/w			,	E)PAKOU/SOMAI	A)KOU/W          E)PI
41	17	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
41	17	N2	NSM	9346	θεὸς	θεος	θεος	θεός	qeo\j	qeoj	qeoj	qeo/j	qeo/j				QEO\S	QEO/S
41	17	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l			,	*ISRAHL	*I)SRAH/L
41	17	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	17	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
41	17	VF	FAI1S	600193	ἐγκαταλείψω	ἐγκαταλειψω	εγκαταλειψω	ἐγκαταλείπω	e)gkatalei/yw	e)gkataleiyw	egkataleiyw	e)gkatalei/pw	e)gkatalei/pw				E)GKATALEI/YW	LEI/PW           E)N   KATA
41	17	RD	APM	11	αὐτούς	αὐτους	αυτους	αὐτός	au)tou/j	au)touj	autouj	au)to/j	au)to/j			,	AU)TOU/S	AU)TO/S
41	18	C		4	ἀλλὰ	ἀλλα	αλλα	ἀλλά	a)lla\	a)lla	alla	a)lla/	a)lla/				A)LLA\	A)LLA/
41	18	VF	FAI1S	600193	ἀνοίξω	ἀνοιξω	ανοιξω	ἀνοίγω	a)noi/cw	a)noicw	anoicw	a)noi/gw	a)noi/gw				A)NOI/CW	OI)/GW           A)NA
41	18	P		8	ἐπὶ	ἐπι	επι	ἐπί	e)pi\	e)pi	epi	e)pi/	e)pi/				E)PI\	E)PI/
41	18	RA	GPN	10	τῶν	των	των	ὁ	tw~n	twn	twn	o(	o(				TW=N	O(
41	18	N3E	GPN	18242	ὀρέων	ὀρεων	ορεων	ὄρος	o)re/wn	o)rewn	orewn	o/)roj	o)/roj				O)RE/WN	O)/ROS
41	18	N2	APM	9986	ποταμοὺς	ποταμους	ποταμους	ποταμός	potamou\j	potamouj	potamouj	potamo/j	potamo/j				POTAMOU\S	POTAMO/S
41	18	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	18	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
41	18	A1	DSN	17795	μέσῳ	μεσω	μεσω	μέσος	me/sw|	mesw	mesw	me/soj	me/soj				ME/SW|	ME/SOS
41	18	N2N	GPN	18242	πεδίων	πεδιων	πεδιων	πεδίον	pedi/wn	pediwn	pediwn	pedi/on	pedi/on				PEDI/WN	PEDI/ON
41	18	N1	APF	14082	πηγάς	πηγας	πηγας	πηγή	phga/j	phgaj	phgaj	phgh/	phgh/			,	PHGA/S	PHGH/
41	18	VF	FAI1S	600193	ποιήσω	ποιησω	ποιησω	ποιέω	poih/sw	poihsw	poihsw	poie/w	poie/w				POIH/SW	POIE/W
41	18	RA	ASF	10	τὴν	την	την	ὁ	th\n	thn	thn	o(	o(				TH\N	O(
41	18	N2	ASF	13570	ἔρημον	ἐρημον	ερημον	ἔρημος	e/)rhmon	e)rhmon	erhmon	e/)rhmoj	e)/rhmoj				E)/RHMON	E)/RHMOS
41	18	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
41	18	N3E	APN	18178	ἕλη	ἑλη	ελη	ἕλος	e/(lh	e(lh	elh	e/(loj	e(/loj				E(/LH	E(/LOS
41	18	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
41	18	RA	ASF	10	τὴν	την	την	ὁ	th\n	thn	thn	o(	o(				TH\N	O(
41	18	V3	PAPASF	6956481	διψῶσαν	διψωσαν	διψωσαν	διψάω	diyw~san	diywsan	diywsan	diya/w	diya/w				DIYW=SAN	DIYA/W
41	18	N1	ASF	13570	γῆν	γην	γην	γῆ	gh~n	ghn	ghn	gh~	gh=				GH=N	GH=
41	18	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
41	18	N2	DPM	10114	ὑδραγωγοῖς	ὑδραγωγοις	υδραγωγοις	ὑδραγωγός	u(dragwgoi~j	u(dragwgoij	udragwgoij	u(dragwgo/j	u(dragwgo/j			,	U(DRAGWGOI=S	U(DRAGWGO/S
41	19	VF	FAI1S	600193	θήσω	θησω	θησω	τίθημι	qh/sw	qhsw	qhsw	ti/qhmi	ti/qhmi				QH/SW	TI/QHMI
41	19	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
41	19	RA	ASF	10	τὴν	την	την	ὁ	th\n	thn	thn	o(	o(				TH\N	O(
41	19	A1B	ASF	13571	ἄνυδρον	ἀνυδρον	ανυδρον	ἄνυδρος	a/)nudron	a)nudron	anudron	a/)nudroj	a)/nudroj				A)/NUDRON	A)/NUDROS
